Date,Open,High,Low,Close,Adj Close,Volume
2010-05-27,9.562070,9.743630,9.525760,9.707320,9.707320,12163037
2010-05-28,9.828350,9.852560,9.719420,9.743630,9.743630,9988528
2010-05-31,9.719420,9.804150,9.695210,9.792040,9.792040,5446185
2010-06-01,9.755730,9.864670,9.731520,9.743630,9.743630,7509985
2010-06-02,9.731520,9.779940,9.562070,9.622590,9.622590,7592603
2010-06-03,9.864670,9.961500,9.864670,9.864670,9.864670,16681421
2010-06-04,9.985710,10.167300,9.888870,9.900980,9.900980,15149681
2010-06-07,9.465240,9.634690,9.465240,9.598380,9.598380,9217701
2010-06-08,9.598380,9.731520,9.598380,9.683110,9.683110,4829028
2010-06-09,9.683110,9.719420,9.489450,9.489450,9.489450,6616057
2010-06-10,9.562070,9.695210,9.525760,9.695210,9.695210,4409328
2010-06-11,9.864670,9.888870,9.755730,9.755730,9.755730,11807779
2010-06-14,9.913080,9.913080,9.779940,9.804150,9.804150,5527977
2010-06-15,9.816250,9.937290,9.792040,9.876770,9.876770,7678526
2010-06-17,10.009900,10.130900,9.949390,9.949390,9.949390,18209029
2010-06-18,10.070400,10.094600,9.937290,9.961500,9.961500,6357463
2010-06-21,10.118800,10.130900,10.022000,10.058300,10.058300,10816362
2010-06-22,10.058300,10.130900,9.997810,9.997810,9.997810,6613579
2010-06-23,9.997810,10.034100,9.937290,9.937290,9.937290,4937258
2010-06-24,9.949390,10.034100,9.949390,9.961500,9.961500,4330841
2010-06-25,9.925190,9.925190,9.828350,9.864670,9.864670,5782441
2010-06-28,9.864670,10.009900,9.840460,9.852560,9.852560,5670080
2010-06-29,10.009900,10.058300,9.864670,9.864670,9.864670,9452337
2010-06-30,9.683110,9.816250,9.658900,9.755730,9.755730,9236704
2010-07-01,9.755730,9.816250,9.719420,9.743630,9.743630,1744068
2010-07-02,9.695210,9.755730,9.683110,9.695210,9.695210,5521368
2010-07-05,9.695210,9.828350,9.683110,9.743630,9.743630,7105983
2010-07-06,9.731520,9.864670,9.719420,9.828350,9.828350,7743795
2010-07-07,9.876770,9.949390,9.840460,9.925190,9.925190,9250749
2010-07-08,10.046200,10.336700,10.009900,10.082500,10.082500,30863644
2010-07-09,10.143100,10.167300,10.022000,10.034100,10.034100,6590446
2010-07-12,10.046200,10.118800,9.985710,9.985710,9.985710,7148944
2010-07-13,10.058300,10.167300,10.046200,10.070400,10.070400,11700375
2010-07-14,10.288300,10.288300,10.130900,10.143100,10.143100,12047371
2010-07-15,10.167300,10.845100,10.167300,10.845100,10.845100,64521431
2010-07-16,10.857200,10.954000,10.469900,10.469900,10.469900,48050687
2010-07-19,10.360900,10.482000,10.300400,10.360900,10.360900,12532340
2010-07-20,10.409300,10.675600,10.409300,10.469900,10.469900,21345212
2010-07-21,10.554600,10.554600,10.360900,10.373000,10.373000,10879978
2010-07-22,10.433500,10.639300,10.433500,10.506200,10.506200,12448069
2010-07-23,10.615100,10.639300,10.469900,10.469900,10.469900,11191448
2010-07-26,10.590900,10.590900,10.433500,10.445700,10.445700,7806584
2010-07-27,10.482000,10.566700,10.409300,10.409300,10.409300,6642495
